site_id|config_id|run_id|stat_id|stat_name|stat_value|stat_end_value|start_time
37|1|10|266026|USER_TIME|5848051.44||16-OCT-14 08.00.00.000000 AM
37|1|10|266029|VM_IN_BYTES|102400||16-OCT-14 08.00.00.000000 AM
37|1|10|266039|TCP_RECEIVE_SIZE_MIN|4096||16-OCT-14 08.00.00.000000 AM
37|1|10|266041|TCP_SEND_SIZE_MAX|4194304||16-OCT-14 08.00.00.000000 AM
37|1|10|266022|IDLE_TIME|9276007.63||16-OCT-14 08.00.00.000000 AM
37|1|10|266021|BUSY_TIME|7477799.44||16-OCT-14 08.00.00.000000 AM
37|1|10|266024|NICE_TIME|0||16-OCT-14 08.00.00.000000 AM
37|1|10|266027|LOAD|4.13|4.13|16-OCT-14 08.00.00.000000 AM
37|1|10|266035|GLOBAL_RECEIVE_SIZE_MAX|4194304||16-OCT-14 08.00.00.000000 AM
37|1|10|266028|RSRC_MGR_CPU_WAIT_TIME|0||16-OCT-14 08.00.00.000000 AM
37|1|10|266033|NUM_CPU_CORES|12||16-OCT-14 08.00.00.000000 AM
37|1|10|266030|VM_OUT_BYTES|0||16-OCT-14 08.00.00.000000 AM
37|1|10|266034|NUM_CPU_SOCKETS|2||16-OCT-14 08.00.00.000000 AM
37|1|10|266038|TCP_RECEIVE_SIZE_MAX|6291456||16-OCT-14 08.00.00.000000 AM
37|1|10|266036|GLOBAL_SEND_SIZE_MAX|2097152||16-OCT-14 08.00.00.000000 AM
37|1|10|266023|IOWAIT_TIME|2233.5||16-OCT-14 08.00.00.000000 AM
37|1|10|266040|TCP_SEND_SIZE_DEFAULT|16384||16-OCT-14 08.00.00.000000 AM
37|1|10|266042|TCP_SEND_SIZE_MIN|4096||16-OCT-14 08.00.00.000000 AM
37|1|17|266022|IDLE_TIME|8899637.81||27-OCT-14 08.00.00.000000 AM
37|1|17|266028|RSRC_MGR_CPU_WAIT_TIME|0||27-OCT-14 08.00.00.000000 AM
37|1|17|266036|GLOBAL_SEND_SIZE_MAX|2097152||27-OCT-14 08.00.00.000000 AM
37|1|17|266040|TCP_SEND_SIZE_DEFAULT|16384||27-OCT-14 08.00.00.000000 AM
37|1|17|266024|NICE_TIME|0||27-OCT-14 08.00.00.000000 AM
37|1|17|266029|VM_IN_BYTES|58368||27-OCT-14 08.00.00.000000 AM
37|1|17|266030|VM_OUT_BYTES|0||27-OCT-14 08.00.00.000000 AM
37|1|17|266032|NUM_CPUS|24||27-OCT-14 08.00.00.000000 AM
37|1|17|266023|IOWAIT_TIME|11116.19||27-OCT-14 08.00.00.000000 AM
37|1|17|266026|USER_TIME|6225861.5||27-OCT-14 08.00.00.000000 AM
37|1|17|266035|GLOBAL_RECEIVE_SIZE_MAX|4194304||27-OCT-14 08.00.00.000000 AM
37|1|17|266031|PHYSICAL_MEMORY_BYTES|101178621952||27-OCT-14 08.00.00.000000 AM
